rocket_id,group_type,td,keff,Iyy,best_Kp_exp1,lat_natural,wind_natural,wind,latency,Kp,sr
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,3,0.14285714285714285
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,5,0.42857142857142855
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,8,0.8571428571428571
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,12,0.8571428571428571
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,18,0.5714285714285714
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,27,1.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,40,0.5714285714285714
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,60,0.42857142857142855
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,90,0.5714285714285714
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,130,0.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,190,0.14285714285714285
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,270,0.0
R0422,FRAGILE,171.33188585238068,16.44716177922489,0.0130471921793713,133.21,4,0.1656448918165813,0.42,6,320,0.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,1,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,2,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,3,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,5,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,8,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,12,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,18,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,27,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,40,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,60,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,90,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,130,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,190,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,270,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,1,320,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,1,0.7142857142857143
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,2,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,3,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,5,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,8,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,12,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,18,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,27,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,40,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,60,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,90,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,130,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,190,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,270,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,3,320,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,1,0.14285714285714285
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,2,0.7142857142857143
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,3,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,5,0.8571428571428571
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,8,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,12,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,18,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,27,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,40,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,60,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,90,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,130,0.8571428571428571
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,190,0.42857142857142855
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,270,0.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.05,6,320,0.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,1,0.8571428571428571
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,2,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,3,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,5,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,8,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,12,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,18,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,27,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,40,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,60,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,90,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,130,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,190,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,270,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,1,320,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,1,0.7142857142857143
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,2,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,3,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,5,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,8,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,12,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,18,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,27,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,40,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,60,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,90,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,130,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,190,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,270,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,3,320,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,1,0.2857142857142857
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,2,0.7142857142857143
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,3,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,5,0.7142857142857143
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,8,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,12,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,18,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,27,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,40,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,60,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,90,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,130,0.8571428571428571
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,190,0.7142857142857143
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,270,0.2857142857142857
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.12,6,320,0.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,1,0.8571428571428571
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,2,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,3,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,5,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,8,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,12,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,18,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,27,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,40,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,60,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,90,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,130,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,190,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,270,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,1,320,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,1,0.7142857142857143
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,2,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,3,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,5,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,8,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,12,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,18,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,27,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,40,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,60,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,90,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,130,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,190,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,270,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,3,320,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,1,0.2857142857142857
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,2,0.7142857142857143
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,3,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,5,0.7142857142857143
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,8,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,12,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,18,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,27,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,40,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,60,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,90,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,130,0.8571428571428571
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,190,0.42857142857142855
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,270,0.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.22,6,320,0.14285714285714285
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,1,0.7142857142857143
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,2,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,3,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,5,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,8,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,12,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,18,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,27,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,40,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,60,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,90,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,130,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,190,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,270,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,1,320,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,1,0.42857142857142855
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,2,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,3,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,5,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,8,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,12,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,18,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,27,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,40,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,60,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,90,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,130,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,190,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,270,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,3,320,1.0
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,6,1,0.2857142857142857
R0473,EASY,36.128380532296994,7.912783926167907,0.0240747432564579,26.73,2,0.2409509571852813,0.32,6,2,0.7142857142857143
